Item Label;Description;alias;instance of;P1:string;P69:string;P44:wikibase-item;P33:quantity;P64:wikibase-item;P27:wikibase-item;P32:time;P49:wikibase-item;P50:wikibase-item;P52:wikibase-item;P56:wikibase-item;P55:wikibase-item;P59:wikibase-item;P57:wikibase-item;P65:wikibase-item;P58:wikibase-item;P60:wikibase-item;P54:wikibase-item;P53:wikibase-item;P51:string;P61:wikibase-itemPQ62-Cousin;P61:wikibase-itemPQ62-Grandchild;P61:wikibase-itemPQ62-Nephew;P61:wikibase-itemPQ62-Uncle;P61:wikibase-itemPQ62-Grandfather;P61:wikibase-itemPQ62-Grandmother;P61:wikibase-itemPQ62-Sibling-in-law;P61:wikibase-itemPQ62-Father-in-law;P61:wikibase-itemPQ62-Son-in-law;P66:string;P67:string;P28:wikibase-item;P6:wikibase-item;P5:wikibase-item;P43:wikibase-item;P19:wikibase-item;P18:wikibase-item;P17:wikibase-item;P12:wikibase-itemPQ13-Witness;P12:wikibase-itemPQ13-Notary;P12:wikibase-itemPQ13-Judge;P12:wikibase-itemPQ13-PartyA;P12:wikibase-itemPQ13-PartyB;P15:wikibase-item;P37:wikibase-item;P35:wikibase-item;P46:wikibase-item
Merino mayor por el rey en León y Asturias;Instance of Public Office;;Q56;AMSPO-D9Oc3|AMSPO-D6Oc2;Merino mayor por el rey en León y Asturias;;;Asturias|León;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Orfebre;Instance of Occupation;;Q39;AMSPO-D34Oc2|AMSPO-D76Oc1|AMSPO-D73Oc1|AMSPO-D1Oc4|AMSPO-D39Oc4|AMSPO-D127Oc2|AMSPO-D15Oc1|AMSPO-D88Oc2|AMSPO-D37Oc2|AMSPO-D47Oc1|AMSPO-D82Oc1|AMSPO-D75Oc1|AMSPO-D58Oc3|AMSPO-D83Oc1|AMSPO-D91Oc3|AMSPO-D124Oc2|AMSPO-D91Oc5|AMSPO-D118Oc1|AMSPO-D50Oc4|AMSPO-D122Oc1|AMSPO-D9Oc4|AMSPO-D66Oc3|AMSPO-D87Oc1|AMSPO-D35Oc2|AMSPO-D24Oc5|AMSPO-D7Oc1|AMSPO-D109Oc2|AMSPO-D123Oc1|AMSPO-D44Oc5|AMSPO-D44Oc2|AMSPO-D45Oc2|AMSPO-D42Oc1|AMSPO-D102Oc1|AMSPO-D18Oc3|AMSPO-D62Oc3|AMSPO-D99Oc1|AMSPO-D121Oc1|AMSPO-D128Oc2|AMSPO-D108Oc3|AMSPO-D30Oc2|AMSPO-D26Oc1|AMSPO-D28Oc2|AMSPO-D36Oc3|AMSPO-D111Oc2|AMSPO-D56Oc2|AMSPO-D72Oc2|AMSPO-D77Oc1|AMSPO-D103Oc3|AMSPO-D48Oc2|AMSPO-D39Oc9|AMSPO-D13Oc2|AMSPO-D65Oc3|AMSPO-D6Oc8|AMSPO-D80Oc1|AMSPO-D5Oc1|AMSPO-D52Oc1|AMSPO-D116Oc1|AMSPO-D63Oc1|AMSPO-D39Oc8|AMSPO-D106Oc2|AMSPO-D57Oc2|AMSPO-D71Oc1|AMSPO-D31Oc3|AMSPO-D69Oc1|AMSPO-D54Oc1|AMSPO-D93Oc3|AMSPO-D68Oc1|AMSPO-D27Oc1|AMSPO-D84Oc1|AMSPO-D14Oc3|AMSPO-D29Oc2|AMSPO-D101Oc2|AMSPO-D86Oc1|AMSPO-D4Oc1|AMSPO-D98Oc1|AMSPO-D39Oc11|AMSPO-D59Oc2|AMSPO-D66Oc4|AMSPO-D107Oc4|AMSPO-D96Oc1|AMSPO-D44Oc4|AMSPO-D24Oc4|AMSPO-D2Oc1|AMSPO-D25Oc1|AMSPO-D79Oc1|AMSPO-D39Oc1|AMSPO-D6Oc3|AMSPO-D16Oc5|AMSPO-D81Oc1|AMSPO-D61Oc2|AMSPO-D8Oc2|AMSPO-D70Oc1|AMSPO-D3Oc1|AMSPO-D113Oc1|AMSPO-D49Oc1|AMSPO-D120Oc1|AMSPO-D119Oc2|AMSPO-D6Oc9|AMSPO-D19Oc2|AMSPO-D105Oc1|AMSPO-D46Oc2|AMSPO-D12Oc3|AMSPO-D92Oc3|AMSPO-D117Oc1|AMSPO-D74Oc1|AMSPO-D104Oc3|AMSPO-D95Oc1|AMSPO-D22Oc1|AMSPO-D114Oc1|AMSPO-D23Oc1|AMSPO-D39Oc10|AMSPO-D115Oc1|AMSPO-D91Oc2|AMSPO-D33Oc2|AMSPO-D85Oc1|AMSPO-D89Oc1|AMSPO-D6Oc11|AMSPO-D51Oc2|AMSPO-D60Oc1|AMSPO-D97Oc1|AMSPO-D21Oc4|AMSPO-D53Oc2|AMSPO-D112Oc2|AMSPO-D78Oc3|AMSPO-D110Oc1|AMSPO-D91Oc7|AMSPO-D40Oc1|AMSPO-D17Oc1|AMSPO-D43Oc3|AMSPO-D8Oc1|AMSPO-D32Oc3|AMSPO-D125Oc1|AMSPO-D1Oc2|AMSPO-D100Oc2|AMSPO-D38Oc4|AMSPO-D18Oc5|AMSPO-D64Oc1|AMSPO-D18Oc1|AMSPO-D94Oc2|AMSPO-D103Oc4|AMSPO-D8Oc4|AMSPO-D67Oc2|AMSPO-D11Oc1|AMSPO-D55Oc2|AMSPO-D90Oc2|AMSPO-D24Oc9|AMSPO-D44Oc1;Orfebre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Adelantado mayor por el rey en Asturias y León;Instance of Public Office;;Q56;AMSPO-D16Oc3|AMSPO-D24Oc2;Adelantado mayor por el rey en Asturias y León;;;Asturias|León;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Notario público del rey en la pobla de Grado;Instance of Public Office;;Q56;AMSPO-D120Oc2|AMSPO-D122Oc4|AMSPO-D117Oc3|AMSPO-D115Oc2|AMSPO-D121Oc5|AMSPO-D4Oc3|AMSPO-D124Oc3|AMSPO-D113Oc2|AMSPO-D123Oc4|AMSPO-D3Oc3|AMSPO-D82Oc3|AMSPO-D85Oc2|AMSPO-D105Oc2|AMSPO-D125Oc3|AMSPO-D102Oc3|AMSPO-D119Oc3|AMSPO-D60Oc3|AMSPO-D81Oc3|AMSPO-D76Oc2|AMSPO-D69Oc3;Notario público del rey en la pobla de Grado;;;Grado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tellero;Instance of Occupation;;Q39;AMSPO-D121Oc3;Tellero;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Notario público del rey en Oviedo;Instance of Public Office;;Q56;AMSPO-D52Oc5|AMSPO-D36Oc2|AMSPO-D57Oc1|AMSPO-D17Oc2|AMSPO-D75Oc4|AMSPO-D63Oc2|AMSPO-D5Oc3|AMSPO-D116Oc4|AMSPO-D2Oc2|AMSPO-D14Oc4|AMSPO-D12Oc4|AMSPO-D127Oc3|AMSPO-D23Oc2|AMSPO-D58Oc4|AMSPO-D20Oc4|AMSPO-D50Oc2|AMSPO-D94Oc3|AMSPO-D68Oc2|AMSPO-D73Oc4|AMSPO-D111Oc5|AMSPO-D86Oc2|AMSPO-D103Oc1|AMSPO-D100Oc4|AMSPO-D84Oc2|AMSPO-D19Oc3|AMSPO-D61Oc3|AMSPO-D35Oc1|AMSPO-D51Oc3|AMSPO-D107Oc5|AMSPO-D93Oc4|AMSPO-D39Oc2|AMSPO-D77Oc2|AMSPO-D97Oc2|AMSPO-D44Oc3|AMSPO-D42Oc2|AMSPO-D13Oc4|AMSPO-D49Oc3|AMSPO-D55Oc4|AMSPO-D95Oc2|AMSPO-D7Oc2|AMSPO-D37Oc1|AMSPO-D28Oc3|AMSPO-D101Oc4|AMSPO-D65Oc9|AMSPO-D48Oc3|AMSPO-D114Oc4|AMSPO-D106Oc3|AMSPO-D18Oc6|AMSPO-D25Oc2|AMSPO-D53Oc3|AMSPO-D80Oc2|AMSPO-D32Oc4|AMSPO-D66Oc1|AMSPO-D8Oc3|AMSPO-D109Oc3|AMSPO-D38Oc3|AMSPO-D88Oc3|AMSPO-D108Oc5|AMSPO-D118Oc3|AMSPO-D78Oc2|AMSPO-D96Oc2|AMSPO-D29Oc3|AMSPO-D24Oc7|AMSPO-D26Oc2|AMSPO-D70Oc2|AMSPO-D126Oc2|AMSPO-D65Oc2|AMSPO-D34Oc3|AMSPO-D43Oc2|AMSPO-D41Oc1|AMSPO-D128Oc3|AMSPO-D6Oc5|AMSPO-D31Oc4|AMSPO-D112Oc4|AMSPO-D56Oc5|AMSPO-D104Oc5|AMSPO-D45Oc4|AMSPO-D9Oc7|AMSPO-D30Oc3|AMSPO-D62Oc2|AMSPO-D40Oc2|AMSPO-D92Oc4|AMSPO-D90Oc3|AMSPO-D71Oc2|AMSPO-D72Oc5|AMSPO-D67Oc1|AMSPO-D89Oc4|AMSPO-D98Oc2|AMSPO-D47Oc5|AMSPO-D16Oc8|AMSPO-D99Oc4|AMSPO-D33Oc3|AMSPO-D54Oc2|AMSPO-D110Oc3|AMSPO-D59Oc3|AMSPO-D21Oc6|AMSPO-D27Oc4|AMSPO-D11Oc3|AMSPO-D79Oc2|AMSPO-D87Oc2|AMSPO-D15Oc5|AMSPO-D64Oc2|AMSPO-D22Oc4|AMSPO-D91Oc4;Notario público del rey en Oviedo;;;Oviedo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Escribano;Instance of Occupation;;Q39;AMSPO-D51Oc4|AMSPO-D17Oc3|AMSPO-D45Oc3|AMSPO-D114Oc2|AMSPO-D53Oc5|AMSPO-D115Oc3|AMSPO-D20Oc5|AMSPO-D112Oc3|AMSPO-D33Oc4|AMSPO-D111Oc3|AMSPO-D34Oc4|AMSPO-D6Oc10|AMSPO-D91Oc1|AMSPO-D31Oc5|AMSPO-D19Oc4|AMSPO-D74Oc3|AMSPO-D93Oc2|AMSPO-D92Oc2|AMSPO-D121Oc4|AMSPO-D91Oc6|AMSPO-D71Oc5|AMSPO-D54Oc5|AMSPO-D72Oc3|AMSPO-D19Oc1|AMSPO-D20Oc2|AMSPO-D7Oc3|AMSPO-D119Oc5|AMSPO-D3Oc4|AMSPO-D110Oc2|AMSPO-D32Oc5|AMSPO-D65Oc8|AMSPO-D21Oc5|AMSPO-D45Oc1|AMSPO-D90Oc1|AMSPO-D70Oc4|AMSPO-D90Oc4|AMSPO-D11Oc6|AMSPO-D108Oc4|AMSPO-D113Oc3|AMSPO-D21Oc1|AMSPO-D117Oc4|AMSPO-D101Oc3|AMSPO-D29Oc4|AMSPO-D25Oc5|AMSPO-D16Oc2|AMSPO-D116Oc5|AMSPO-D92Oc5|AMSPO-D36Oc1|AMSPO-D16Oc7|AMSPO-D55Oc1|AMSPO-D18Oc7|AMSPO-D93Oc5|AMSPO-D102Oc2|AMSPO-D58Oc2|AMSPO-D78Oc5|AMSPO-D23Oc3|AMSPO-D111Oc1|AMSPO-D99Oc3|AMSPO-D122Oc3|AMSPO-D75Oc3|AMSPO-D30Oc4|AMSPO-D84Oc3|AMSPO-D116Oc2|AMSPO-D100Oc3|AMSPO-D53Oc1|AMSPO-D5Oc2|AMSPO-D16Oc9|AMSPO-D84Oc4|AMSPO-D118Oc5;Escribano;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alfayete;Instance of Occupation;;Q39;AMSPO-D22Oc3|AMSPO-D14Oc2;Alfayete;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Clérigo;Instance of Occupation;;Q39;AMSPO-D15Oc6|AMSPO-D51Oc1|AMSPO-D119Oc1|AMSPO-D127Oc1|AMSPO-D21Oc3|AMSPO-D39Oc5|AMSPO-D122Oc2|AMSPO-D124Oc1|AMSPO-D69Oc4|AMSPO-D65Oc10|AMSPO-D13Oc5|AMSPO-D41Oc8|AMSPO-D123Oc2;Clérigo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Canónigo de la Iglesia de Oviedo;Instance of Public Office;;Q56;AMSPO-D7Oc5|AMSPO-D39Oc6;Canónigo de la Iglesia de Oviedo;;;Oviedo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
